obs,time,deployment,conductivity,SSP,Depth ,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temperature,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('97',)",3748835217,11,3.568979979,1484.660977,70.50799885,3767111115,3767111252,3748835217,0,internal_timestamp,71.0039978,1539846417,33.77259827,0,8.652400017,1026.538887,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('98',)",3748835217,11,3.569000006,1484.661103,70.50005074,3767111115,3767111252,3748835217,0,internal_timestamp,70.9960022,1539846417,33.77280045,0,8.652400017,1026.539009,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('99',)",3748835217,11,3.569010019,1484.661148,70.49507706,3767111115,3767111252,3748835217,0,internal_timestamp,70.99099731,1539846417,33.77289963,0,8.652400017,1026.539063,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('100',)",3748835217,11,3.569020033,1484.661192,70.49011095,3767111115,3767111252,3748835217,0,internal_timestamp,70.98600006,1539846417,33.77299881,0,8.652400017,1026.539118,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('101',)",3748835217,11,3.569030046,1484.661242,70.48514463,3767111115,3767111252,3748835217,0,internal_timestamp,70.98100281,1539846417,33.77310181,0,8.652400017,1026.539176,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('102',)",3748835217,11,3.569020033,1484.661034,70.48018182,3767111115,3767111252,3748835217,0,internal_timestamp,70.97599792,1539846417,33.77299881,1,8.652400017,1026.539072,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('103',)",3748835217,11,3.569020033,1484.660445,70.47421588,3767111115,3767111252,3748835217,0,internal_timestamp,70.97000122,1539846417,33.77320099,0,8.652199745,1026.539235,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('104',)",3748835217,11,3.569020033,1484.659888,70.47023447,3767111115,3767111252,3748835217,0,internal_timestamp,70.96600342,1539846417,33.77339935,0,8.652000427,1026.539403,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('105',)",3748835217,11,3.569030046,1484.659299,70.46426096,3767111115,3767111252,3748835217,0,internal_timestamp,70.95999908,1539846417,33.77360153,0,8.651800156,1026.539565,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('106',)",3748835217,11,3.569030046,1484.659111,70.46028061,3767111115,3767111252,3748835217,0,internal_timestamp,70.95600128,1539846417,33.7737999,0,8.65170002,1026.539717,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('107',)",3748835217,11,3.56904006,1484.65902,70.45430284,3767111115,3767111252,3748835217,0,internal_timestamp,70.94999695,1539846417,33.77410126,0,8.651599884,1026.539941,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
"('108',)",3748835217,11,3.569050074,1484.658411,70.44734496,3767111115,3767111252,3748835217,0,internal_timestamp,70.94300079,1539846417,33.77429962,0,8.651399612,1026.540096,29,13,29,29,29,29,29,13,29,29,44.637117,-124.302617
